section,Model,Hardware,Bandwidth,Quality,Memory,Flash,SRAM,Latency,RTF,Power,Verdict
repo_models,atennuate_8k_estimated,STM32N6,8 kHz,external,0.90 MiB,0.16 MiB,1024 ms,0.13,FAIL,"latency,offline_only"
repo_models,atennuate_16k,Alif Ensemble E3,16 kHz,onchip,0.90 MiB,0.31 MiB,1024 ms,0.46,FAIL,"latency,offline_only"
repo_models,atennuate_16k,Infineon PSoC Edge E84,16 kHz,external,0.90 MiB,0.31 MiB,1024 ms,0.51,FAIL,"latency,offline_only"
repo_models,atennuate_16k,NXP MCX N94,16 kHz,onchip,0.90 MiB,0.31 MiB,1024 ms,2.25,FAIL,"compute,latency,offline_only"
repo_models,atennuate_16k,NXP i.MX RT700,16 kHz,external,0.90 MiB,0.31 MiB,1024 ms,0.85,FAIL,"latency,offline_only"
repo_models,atennuate_16k,STM32L476RG,16 kHz,onchip,0.90 MiB,0.31 MiB,1024 ms,14.39,FAIL,"compute,flash,latency,offline_only,sram"
repo_models,atennuate_16k,STM32N6,16 kHz,external,0.90 MiB,0.31 MiB,1024 ms,0.26,FAIL,"latency,offline_only"
repo_models,mp_senet_lite_8k_estimated,Alif Ensemble E3,8 kHz,onchip,0.42 MiB,1.22 MiB,1000 ms,2.74,FAIL,"compute,latency,offline_only"
repo_models,mp_senet_lite_8k_estimated,Infineon PSoC Edge E84,8 kHz,external,0.42 MiB,1.22 MiB,1000 ms,3.24,FAIL,"compute,latency,offline_only"
repo_models,mp_senet_lite_8k_estimated,NXP MCX N94,8 kHz,onchip,0.42 MiB,1.22 MiB,1000 ms,42.72,FAIL,"compute,latency,offline_only,sram"
repo_models,mp_senet_lite_8k_estimated,NXP i.MX RT700,8 kHz,external,0.42 MiB,1.22 MiB,1000 ms,17.92,FAIL,"compute,latency,offline_only"
repo_models,mp_senet_lite_8k_estimated,STM32L476RG,8 kHz,onchip,0.42 MiB,1.22 MiB,1000 ms,169.44,FAIL,"compute,latency,offline_only,sram"
repo_models,mp_senet_lite_8k_estimated,STM32N6,8 kHz,external,0.42 MiB,1.22 MiB,1000 ms,1.54,FAIL,"compute,latency,offline_only"
repo_models,mp_senet_lite_16k,Alif Ensemble E3,16 kHz,onchip,0.42 MiB,2.42 MiB,1000 ms,6.86,FAIL,"compute,latency,offline_only"
repo_models,mp_senet_lite_16k,Infineon PSoC Edge E84,16 kHz,external,0.42 MiB,2.42 MiB,1000 ms,8.02,FAIL,"compute,latency,offline_only"
repo_models,mp_senet_lite_16k,NXP MCX N94,16 kHz,onchip,0.42 MiB,2.42 MiB,1000 ms,106.50,FAIL,"compute,latency,offline_only,sram"
repo_models,mp_senet_lite_16k,NXP i.MX RT700,16 kHz,external,0.42 MiB,2.42 MiB,1000 ms,44.72,FAIL,"compute,latency,offline_only"
repo_models,mp_senet_lite_16k,STM32L476RG,16 kHz,onchip,0.42 MiB,2.42 MiB,1000 ms,398.61,FAIL,"compute,latency,offline_only,sram"
repo_models,mp_senet_lite_16k,STM32N6,16 kHz,external,0.42 MiB,2.42 MiB,1000 ms,3.84,FAIL,"compute,latency,offline_only"
